,0,1,2
2311,false,"Quotes President Jimmy Carter as saying ""If you don’t want your tax dollars to help the poor, then stop saying you want a country based on Christian values, because you don’t.""","By Samantha Putterman • May 2, 2019"
2312,false,"""We suspended the (Foxconn) work around October, November last year because the weather there was snowy and icy cold.""","By Eric Litke • May 2, 2019"
2313,half-true,"""One-fourth of the vehicles on (Missouri’s) highways are defective.""","By Laura Murgatroyd • May 2, 2019"
2314,half-true,"""When comparing state by state, the data clearly demonstrates that over 20 other states with (Prescription Drug Monitoring Programs) are still substantially worse off than Missouri in terms of curbing the effects of opioid abuse.""","By Madison Conte • May 2, 2019"
2315,true,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""","By Yanqi Xu • May 2, 2019"
2316,true,"""The unemployment rate for Wisconsin workers has reached historic lows. It’s never been this low before, ever, ever, ever.""","By Mica Soellner • May 2, 2019"
2317,mostly-true,"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism.""","By Shefali Luthra • May 1, 2019"
2318,pants-fire,"Says Joe Biden said, ""the Germans bombed Pearl Harbor.""","By Ciara O'Rourke • May 1, 2019"
2319,false,"""Before 1973 it was illegal in the U.S. to profit off of health care.""","By John Kruzel • May 1, 2019"
2320,pants-fire,Says Hillary Clinton was to be indicted over the Whitewater scandal four days before documents related to the case were destroyed in the Oklahoma City bombing.,"By Samantha Putterman • May 1, 2019"
2321,pants-fire,"Says Facebook is now a ""public entity"" that will be able to ""use your photos"" and ""information"" unless you post a statement declining your permission.","By Samantha Putterman • May 1, 2019"
2322,false,"""The poverty rate for Wisconsin families has reached the lowest rate in 22 years.""","By Eric Litke • April 30, 2019"
2323,barely-true,"""We have been losing to China for many years, $500 billion a year.","By D.L. Davis • April 30, 2019"
2324,true,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""","By Miriam Valverde • April 30, 2019"
2325,true,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""","By Jill Terreri Ramos • April 30, 2019"
2326,barely-true,"State Sen. Emmett Hanger ""has voted for the three largest tax increases - proposed tax increases - in Virginia history.""","By Warren Fiske • April 30, 2019"
2327,half-true,"""We have an unemployment (rate of) 1.5 in Boone County, and we can’t find enough workers.""","By Olivia Garrett • April 29, 2019"
2328,pants-fire,"The Russia investigation ""was a coup. This was an attempted overthrow of the United States government.""","By Louis Jacobson • April 29, 2019"
2329,false,"With a late-term abortion, ""the mother meets with the doctor. They take care of the baby, they wrap the baby beautifully. And then the doctor and the mother determine whether or not they will execute the baby.""","By Jon Greenberg • April 29, 2019"
2330,false,Says Mitch McConnell was cured of polio when he was a child by government-funded care and now he’s trying to take that same care away from millions of Americans,"By Samantha Putterman • April 29, 2019"
2331,mostly-true,"""Half the country today has either diabetes or prediabetes.""","By Miriam Valverde • April 29, 2019"
2332,half-true,"""We’re in a situation right now where 80% of the country is living paycheck to paycheck.""","By Kiannah Sepeda-Miller • April 28, 2019"
2333,mostly-true,"""One out of 4 diabetes patients in our country cannot afford their insulin.""","By Shefali Luthra • April 26, 2019"
2334,true,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""","By Kennedy Simone • April 26, 2019"
2335,true,"Says 74% of people in Texas are ""crammed into 4% of the land.""","By Madlin Mekelburg • April 26, 2019"
2336,pants-fire,"Says New York Democrat Jenna Tull was recorded saying, ""Americans should be euthanized when they hit 70. They just become too dumb….and think of the money we’d save!""","By Ciara O'Rourke • April 26, 2019"
2337,pants-fire,"""Shakespeare said: ‘I always feel happy. You know why? Because I don’t expect anything from anyone. Expectations always hurt. Life is short. So love your life. Be Happy. & Keep smiling.""","By Ciara O'Rourke • April 26, 2019"
2338,false,"For the first time in U.S. history, a one-year-old appears in court as a defendant.","By Samantha Putterman • April 26, 2019"
2339,half-true,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""","By Jon Greenberg • April 26, 2019"
2340,pants-fire,Says Hillary Clinton said in an email that she didn’t want Michelle Obama at the same events as her.,"By Ciara O'Rourke • April 26, 2019"
2341,pants-fire,"Quotes George Soros as saying ""I’ve made my life’s mission to destroy the United States. I hate this country and I hate all of the people in it!""","By Samantha Putterman • April 26, 2019"
2342,barely-true,"""Our road conditions cost WI families. In Milwaukee, the average cost per driver is $2,300.""","By D.L. Davis • April 26, 2019"
2343,true,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""","By Emmarie Huetteman • April 25, 2019"
2344,half-true,California is leading the nation in holding drug companies accountable and fighting prescription drug prices.,"By Samantha Young • April 25, 2019"
2345,true,"Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.","By Paul Specht • April 25, 2019"
2346,false,"Florida state senators ""are pushing a new government program that allows prescription drugs from China without FDA inspection.""","By Amy Sherman • April 25, 2019"
2347,mostly-true,"""Most of home care is paid by government programs.""","By Yanqi Xu • April 25, 2019"
2348,pants-fire,"""Border guards found 52 tons of guns and ammunition in 14 Conex containers disguised as furniture. This ‘furniture’ is from Muslim immigrants who have come to America""","By Ciara O'Rourke • April 25, 2019"
2349,pants-fire,"""There are statistics out there that show the number of women who died from illegal abortions prior to Roe v. Wade, that number has skyrocketed since with women dying more with legal abortions.""","By Sidney Steele • April 25, 2019"
2350,false,"""Every county in the state of Texas has a veterans court.""","By Gaëlle Fournier • April 25, 2019"
2351,barely-true,"Says he has ""more executive experience than the vice president.""","By Tom Kertscher • April 24, 2019"
2352,true,"""In my own state of Vermont, from the very first days of our state's history, what our Constitution says is that everybody can vote. That is true. So people in jail can vote.""","By Ellie French • April 24, 2019"
2353,true,"""I was the only member of the Senate – Republican or Democrat – who has consistently voted against efforts to use the so called ‘nuclear option’ to change the rules of the Senate.""","By Al Bernardi • April 24, 2019"
2354,true,"""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""","By Stephanie Alvaro • April 24, 2019"
2355,true,"""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""","By Al Bernardi • April 24, 2019"
2356,mostly-true,"Small businesses in West Virginia make up ""99 percent of the total number of businesses in the state"" and employ ""nearly 50 percent of the state’s workforce.""","By Stephanie Alvaro • April 24, 2019"
2357,mostly-true,"""It is estimated that more than 20 veterans die by suicide every day.""","By Garrett Spikes • April 24, 2019"
2358,false,"""The majority of women are minimum wage workers.""","By Louis Jacobson • April 24, 2019"
2359,pants-fire,"Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads.""","By John Kruzel • April 24, 2019"
2360,half-true,"Says Gov. Tony Evers' budget includes tax and fee increases even while spending ""more on his way to a nearly $2 billion deficit.""","By Mica Soellner • April 24, 2019"
2361,true,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""","By Madlin Mekelburg • April 23, 2019"
2362,pants-fire,"""In the ‘old days’ if you were president and you had a good economy, you were basically immune from criticism.""","By Louis Jacobson • April 23, 2019"
2363,true,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""","By Amy Sherman • April 23, 2019"
2364,pants-fire,"An image of a woman buried up to her neck and drinking a spoonful of water was from Iran and taken just before she was ""stoned to death"" under Sharia Law.","By Samantha Putterman • April 23, 2019"
2365,true,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""","By Bill McCarthy • April 23, 2019"
2366,mostly-true,"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""","By Warren Fiske • April 23, 2019"
2367,false,"""The White House fully cooperated with the Special Counsel’s investigation.""","By John Kruzel • April 22, 2019"
2368,pants-fire,"Says ""combined doses of vaccines"" have never been tested.","By Samantha Putterman • April 22, 2019"
2369,pants-fire,A PETA activist was taped to a tree after protesting a biker rally.,"By Ciara O'Rourke • April 22, 2019"
2370,half-true,"In 2017, the first piece of legislation that Republicans passed ""made it easier for the mentally ill to purchase guns.""","By Julianna Rennie • April 22, 2019"
2371,half-true,"Says Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal.""","By Louis Jacobson • April 22, 2019"
2372,barely-true,"""In almost every state with an income tax, wealthy people pay a higher tax rate than the middle class.""","By Kiannah Sepeda-Miller • April 21, 2019"
2373,true,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""","By Jill Terreri Ramos • April 20, 2019"
2374,mostly-true,"""There is $50 billion a year wasted in the Medicare program.""","By Tom Kertscher • April 19, 2019"
2375,false,"""No, we do not have laws in place protecting babies who are born alive as the result of an abortion.""","By Louis Jacobson • April 19, 2019"
2376,half-true,"""It's clear in our country right now, almost half of American families are a $400 unexpected expense away from complete upheaval.""","By Chris Nichols • April 19, 2019"
2377,true,"""There have been zero reported instances of any child born alive after an abortion in Texas.""","By Madlin Mekelburg • April 18, 2019"
2378,pants-fire,"Says Sen. Kamala  Harris ""introduced a bill today to forbid a police officers from drawing his/her gun without permission from their supervisor.""","By Peter Jancarik • April 17, 2019"
2379,mostly-true,"Says SJR 11 ""seeks to fix what is very quickly becoming a problem in Missouri — initiative petitions and referendums are being filed at record highs.""","By Yue Yu • April 17, 2019"
2380,pants-fire,"Says Donald Trump wrote in his book, ""Being an atheist gives me an edge in every deal. Christians are too moral for business.""","By Samantha Putterman • April 17, 2019"
2381,true,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""","By Catherine Harrington • April 17, 2019"
2382,barely-true,"""Fifty-two counties have average taxes of above the SALT $10,000 cap.""","By Jill Terreri Ramos • April 17, 2019"
2383,pants-fire,A photo shows Muslims laughing in front of a burning Notre Dame.,"By Ciara O'Rourke • April 16, 2019"
2384,barely-true,"Says President Donald Trump's ""effort to roll back regulations means that Big Ag now gets to inspect its own pork"" and ""they decided to stop testing for E. coli.""","By Miriam Valverde • April 16, 2019"
2385,true,"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""","By D.L. Davis • April 16, 2019"
2386,pants-fire,"A video clip from the Notre Dame cathedral fire shows a man walking alone in a tower of the church ""dressed in Muslim garb.""","By Samantha Putterman • April 16, 2019"
2387,true,"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution.""","By Madlin Mekelburg • April 16, 2019"
2388,true,"Says all North Carolina teachers do not currently get a ""duty free lunch break.""","By Bill McCarthy • April 16, 2019"
2389,false,"""The states that have passed (campus carry laws) have seen enrollment drop significantly.""","By Erica Anderson • April 16, 2019"
2390,barely-true,"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""","By Adam Reckamp • April 16, 2019"
2391,mostly-true,"""People show up in the emergency room with a sprained ankle, 25 percent get an opioid prescription.""","By Amy Sherman • April 16, 2019"
2392,false,"Other than University of Virginia’s 2019 basketball team, ""We’ve not had a Virginia team even in the Final Four in over a decade. I think George Mason was the last one…""","By Warren Fiske • April 16, 2019"
2393,half-true,"""For every dollar we spend on actual peace creation, we spend over $1,000 on ways to prepare for war.""","By Tom Kertscher • April 15, 2019"
2394,barely-true,"Says presidents George W. Bush and Barack Obama each tried to get immigration bills passed, but ""it did not work because the other party was unwilling to provide the president and his party a victory.""","By Louis Jacobson • April 15, 2019"
2395,barely-true,"""Drug prices in this country actually came down last year for the first time in 50 years. That’s because Donald Trump’s president.""","By Shefali Luthra • April 15, 2019"
2396,pants-fire,"""Measles kills 11 people in 19 years (since 2000). MMR vaccine kills 445 infants in 1 year (since 2018).""","By Ciara O'Rourke • April 15, 2019"
2397,false,Says that the Council on American-Islamic Relations was founded in response to 9/11.,"By Angie Drobnic Holan • April 15, 2019"
2398,barely-true,"Says Chicago’s reduction in teen smoking over the last eight years is the ""largest drop in the United States of America.""","By Kiannah Sepeda-Miller • April 14, 2019"
2399,false,"Quotes Thomas Homer-Dixon as saying a windmill will ""never generate as much energy as was invested building it.""","By Samantha Putterman • April 12, 2019"
2400,half-true,"""Governor Evers' budget would increase property taxes by the largest amount in a decade""","By Eric Litke • April 12, 2019"
2401,false,"""North Carolina last year was second in the nation in overdose deaths""","By Paul Specht • April 11, 2019"
2402,barely-true,"Says President Donald Trump ""cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups.""","By Amy Sherman • April 11, 2019"
2403,half-true,"Says William T. Thompson, the designer of the Confederate flag, said, ""As a people we are fighting to maintain the Heaven-ordained supremacy of the white man over the inferior or colored race"" and ""As a national emblem, it is significant of our higher cause, the cause of the superior race.""","By Ciara O'Rourke • April 11, 2019"
2404,pants-fire,"A photo of Muslim women with the words ""Down with the USA"" written on their hands was taken in Michigan.","By Samantha Putterman • April 11, 2019"
2405,pants-fire,Says Jay-Z set up a $15 million trust fund for Nipsey Hussle’s children.,"By Samantha Putterman • April 11, 2019"
2406,mostly-true,"""We got to almost universal coverage in health care in Colorado.""","By Julianna Rennie • April 11, 2019"
2407,barely-true,"""The F-35 bombers, scheduled to arrive in Burlington this fall, have been designated with a nuclear mission.""","By Colin Meyn • April 10, 2019"
2408,false,"The Southern strategy is a ""myth"" that ""never happened.""","By Amy Sherman • April 10, 2019"
2409,mostly-true,"""We cut unemployment by more than half"" in South Bend, Ind.","By Louis Jacobson • April 10, 2019"
2410,false,"""Health and Human Services admits they have never conducted federally-required monitoring of vaccine safety for over 30 years.""","By Ciara O'Rourke • April 10, 2019"
2411,false,"In 20 years ""there will be enough Muslim voters in the U.S. to elect the president.""","By Samantha Putterman • April 10, 2019"
2412,pants-fire,A photograph shows an undocumented immigrant with smallpox.,"By Ciara O'Rourke • April 10, 2019"
2413,true,"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""","By Zara McDowell-Barker • April 10, 2019"
2414,half-true,"Says GOP leaders have ""made overtures to meet on a regular basis,"" but Gov. Tony Evers has ""refused to even meet with us.""","By Eric Litke • April 10, 2019"
2415,full-flop,On a bill that would have eased third-trimester abortion resrictions,"By Warren Fiske • April 9, 2019"
2416,false,"Says ""13,506 Marines have applied for White House duty"" since Trump’s inauguration. When Obama was president, ""no Marines volunteered"" but had to be ""assigned.""","By Samantha Putterman • April 8, 2019"
2417,false,"Says President Barack Obama once said, ""The American dream is to be Donald Trump""","By Samantha Putterman • April 8, 2019"
2418,barely-true,"Florida ""passed a law where former felons can now vote. We've had more ex-felons register as Republicans than Democrats.""","By Amy Sherman • April 8, 2019"
2419,false,"Says President Donald Trump said asylum seekers ""aren't people. These are animals.""","By Miriam Valverde • April 8, 2019"
2420,pants-fire,"""The noise (from windmills) causes cancer.""","By Jon Greenberg • April 8, 2019"
2421,false,"Says John F. Kennedy Jr. said, ""If my dear friend Donald Trump ever decided to sacrifice his fabulous billionaire lifestyle to become president he would be an unstoppable force for ultimate justice that Democrats and Republicans alike would celebrate.""","By Ciara O'Rourke • April 8, 2019"
2422,false,Photos related to gun violence in present-day United States and the Holocaust in Nazi Germany suggest that gun control laws created or exacerbated the genocide of Jews.,"By Samantha Putterman • April 8, 2019"
2423,mostly-true,"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""","By Madlin Mekelburg • April 8, 2019"
2424,barely-true,"""Beginning in the early 1990s, we built barriers in 4 sectors at our southern border. Since each was built, those sectors have seen massive drops in apprehensions of people crossing the border illegally,"" including 90 percent to 95 percent decreases in the Tucson, Yuma, San Diego and El Paso sectors. ​","By Garrett Spikes • April 8, 2019"
2425,mostly-true,"""The public health science is clear that the use of the addiction medicine buprenorphine saves lives whether that use has been prescribed or not.""","By Aidan Quigley • April 7, 2019"
2426,pants-fire,"""The City of Chicago is often bailed out by taxpayers in the rest of the State, such as the $221 million bailout for the CPS (Chicago Public Schools) pension system that was signed into law.""","By Kiannah Sepeda-Miller • April 7, 2019"
2427,mostly-true,"""FYI: the last statewide recount in WI was in 2016. After that recount, the vote margin changed by only 131 out of the 2.7 million votes cast.""","By D.L. Davis • April 7, 2019"
2428,mostly-true,"The state budget fully funds ""an initiative to provide free college tuition for illegal immigrants, while rejecting an increase in Tuition Assistance Program funding that would help middle-class families afford college.""","By Jill Terreri Ramos • April 7, 2019"
2429,mostly-true,"Abortion providers perform almost 60,000 procedures in Texas every year.","By Madlin Mekelburg • April 5, 2019"
2430,half-true,"""Since 1973, the income of the bottom 90 percent, so pretty much all of us, didn’t budge, or even retreated a little bit.""","By Louis Jacobson • April 5, 2019"
2431,mostly-true,"Says that the George W. Bush administration in 2005 revived a long-standing law when it ""decided to charge those that crossed the border with criminal violations, rather than civil ones.""","By Miriam Valverde • April 5, 2019"
2432,false,"""The previous administration under President Barack Obama really was the first time that we didn’t ask a citizenship-type question … for the first time in a century, a citizenship question was not included in 2010.""","By Bill McCarthy • April 4, 2019"
2433,barely-true,"In the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""","By Mylana Chico • April 4, 2019"
2434,true,"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""","By Mica Soellner • April 4, 2019"
2435,pants-fire,"Says his father, Fred Trump, was ""born in a very wonderful place in Germany.""","By Tom Kertscher • April 4, 2019"
2436,half-true,"Mergers and integration in agribusiness ""squeeze"" family farms, and ""the result is that farmers are getting a record-low amount of every dollar Americans spend on food.""","By Jon Greenberg • April 4, 2019"
2437,pants-fire,A photograph shows Joe Biden kissing a woman behind Lindsey Graham.,"By Ciara O'Rourke • April 4, 2019"
2438,mostly-true,"In West Virginia, ""our students enter in at fourth grade the first time they’re tested, 37th or 38th in the nation—which is not good, but it’s not horrible. By the time they’re in the 8th grade, they’re 46th or 47th, and then upon 11th grade testing they’re near last.""","By Al Bernardi • April 3, 2019"
2439,mostly-true,"""We have had an increase of 67 percent (in) the number of children taken into state custody since 2014.""","By Catherine Harrington • April 3, 2019"
2440,false,"""Puerto Rico got 91 Billion Dollars for the hurricane, more money than has ever been gotten for a hurricane before.""","By Amy Sherman • April 3, 2019"
2441,barely-true,"""When the wind stops blowing, that’s the end of your electric.""","By John Kruzel • April 3, 2019"
2442,mostly-true,"Americans ""would run out of avocados in three weeks"" if imports from Mexico were stopped due to a border closure.","By Chris Nichols • April 3, 2019"
2443,false,"""Hackers are posting sexual videos and pictures on your (Facebook) walls! You don’t see them, but your friends do, then it seems as if you posted it.""","By Samantha Putterman • April 3, 2019"
2444,mostly-true,"""America’s life expectancy has declined for the last three years in a row, the first time in a hundred years, because of surges in suicides and drug overdoses.""","By Tom Kertscher • April 3, 2019"
2445,false,"Seven days before John F. Kennedy was assassinated he said, ""There’s a plot in this country to enslave every man, woman and child. Before I leave this high and noble office, I intend to expose this plot.""","By Ciara O'Rourke • April 3, 2019"
2446,barely-true,"Says Milwaukee Mayor Tom Barrett did not want a juvenile facility in Milwaukee, ""has never been to a juvenile facility,"" and ""didn't want it to be done.""","By D.L. Davis • April 2, 2019"
2447,pants-fire,"Quotes Harriet Tubman as saying, ""I freed a thousand slaves. I could have freed a thousand more if only they knew they were slaves.""","By Samantha Putterman • April 2, 2019"
2448,false,"""When Winston Churchill was asked to cut arts funding in favour of the war effort, he simply replied, ‘then what are we fighting for?’ ""","By Ciara O'Rourke • April 2, 2019"
2449,false,"Quotes Bernie Sanders as saying, ""Christianity is an insult to Muslims.""","By Samantha Putterman • April 2, 2019"
2450,pants-fire,"Says Alexandria Ocasio-Cortez said, ""We need to repeal Daylight Savings Time as a primary measure to decrease the rate of climate change. Less hours of sun shine equal less heat hitting Earth’s surface.""","By Ciara O'Rourke • April 2, 2019"
2451,pants-fire,"""American middle schools caught forcing students to do Muslim prayers 5 times a day.""","By Miriam Valverde • April 2, 2019"
2452,false,"""The day Al Gore was born, there were 130,000 glaciers on earth. Today, only 130,000 remain.""","By Ciara O'Rourke • April 2, 2019"
2453,pants-fire,The Mueller report was leaked.,"By Ciara O'Rourke • April 2, 2019"
2454,false,"""Women in Virginia have been incarcerated at an increasingly high rate. It’s around (a) 300 percent increase in the past four or five years.""","By Warren Fiske • April 2, 2019"
2455,barely-true,"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions.""","By Jon Greenberg • April 1, 2019"
2456,mostly-true,"""In 30 states, average teacher pay is less than the living wage for a family of four.""","By Louis Jacobson • April 1, 2019"
2457,pants-fire,"Bluegill fish ""are responsible for over 500 deaths in the United States every summer.""","By Ciara O'Rourke • April 1, 2019"
2458,false,"Quotes Adolf Hitler as saying the best way to control a people is ""to take a little of their freedom at a time.""","By Samantha Putterman • April 1, 2019"
2459,false,"""Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.""","By Kiannah Sepeda-Miller • March 31, 2019"
2460,true,"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""","By Madlin Mekelburg • March 29, 2019"
2461,barely-true,"""It is a carbon tax whether it is convenient to say it or not.""","By Colin Meyn • March 29, 2019"
2462,true,"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""","By Jill Terreri Ramos • March 29, 2019"
2463,false,"Says Islamic studies professor Tariq Ramadan said Muslims are here ""to colonize the U.S. and Canada and spread Sharia law"" and won’t ""hesitate to use violent Jihad"" if they have to.","By Samantha Putterman • March 29, 2019"
2464,false,"Says Donna Brazile is a ""criminal.""","By Ciara O'Rourke • March 29, 2019"
2465,false,"""President Trump’s wall costs less than the ObamaCare website.""","By Julianna Rennie • March 29, 2019"
2466,true,"Says an ICE detainer request ""is not a valid warrant.""","By Matthew Riley • March 28, 2019"
2467,false,"""The FBI said (former national security adviser Michael Flynn) wasn't lying.""","By John Kruzel • March 28, 2019"
2468,true,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.","By Mica Soellner • March 28, 2019"
2469,barely-true,"Says Fred Trump was arrested for ""participating in KKK riot"" in 1927.","By Sarah Stanley • March 28, 2019"
2470,false,"Says Tom Ford said about Melania Trump, ""I have no interest in dressing a glorified escort who steals speeches and has bad taste in men.""","By Ciara O'Rourke • March 28, 2019"
2471,false,"Says Trump administration is ""raiding money"" from military service member pensions to pay for the border wall.","By Chris Nichols • March 28, 2019"
2472,half-true,"Says Donald Trump’s health care policies have ""left millions more Americans uninsured since he took office.""","By Jon Greenberg • March 28, 2019"
2473,pants-fire,"Says Adam Schiff used taxpayer money to ""reach a sexual harassment settlement with a 19-year-old male.""","By Samantha Putterman • March 27, 2019"
2474,false,"""President Trump signed legislation to clean up millions of tons of trash from our oceans and lakes last week.""","By Ciara O'Rourke • March 27, 2019"
2475,pants-fire,A photograph shows Barack Obama kissing David Cameron.,"By Ciara O'Rourke • March 27, 2019"
2476,half-true,"""We have more women in the workforce than ever before.""","By Samantha Patrick • March 27, 2019"
2477,barely-true,"""The catalytic converter used in automobiles was invented in West Virginia.""","By Patrick Downey • March 27, 2019"
2478,false,"Says Samuel L. Jackson said, ""Maybe if we underpaid these modern mumble rappers and overpaid teachers there would be smarter people in the future and less s----- music.""","By Ciara O'Rourke • March 27, 2019"
2479,pants-fire,"""Right here (in West Virginia), they are building new houses … so that 321 Syrian Muslims can move down into this neighborhood in two months. … (A funeral home) is to be torn down in two months, and a mosque is going to built there.""","By Liz Newton • March 27, 2019"
2480,false,"Says Joseph Stalin said, ""It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.""","By Ciara O'Rourke • March 27, 2019"
2481,false,"""Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.""","By Ciara O'Rourke • March 27, 2019"
2482,mostly-true,"""Some patients who are on transplant lists for kidney or other organs are being dropped from the list simply because they are shown as a licensed card holder"" for medical marijuana.","By Amy Sherman • March 27, 2019"
2483,half-true,"""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""","By Madlin Mekelburg • March 26, 2019"
2484,barely-true,"The Trump budget ""cuts $845 billion, almost a trillion dollar cut in Medicare.""","By Jon Greenberg • March 26, 2019"
2485,false,ATM users in distress can enter their PIN backwards to secretly call the police.,"By Julianna Rennie • March 26, 2019"
2486,true,"Says ""zero"" African Americans have presented to the House Budget Committee in 2019.","By Sidney Steele • March 26, 2019"
2487,barely-true,"""HR 1 is going to take your hard-earned tax dollars and millions more and send them to (a political candidate’s) campaign so (they) can put ads on TV.""","By Bill McCarthy • March 26, 2019"
2488,barely-true,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""","By Warren Fiske • March 26, 2019"
2489,false,"Shows a photo of two similar Wall Street Journal newspapers with different headlines about President Donald Trump, and describes the editions as, ""Same paper, same dates, different markets. What did you just learn? Feeling manipulated yet?""","By Samantha Putterman • March 26, 2019"
2490,false,"Says a photograph of Harriet Tubman shows she was a ""gun-toting, Democrat-shooting, 2nd Amendment-supporting Republican.""","By Samantha Putterman • March 25, 2019"
2491,half-true,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption.""","By Louis Jacobson • March 25, 2019"
2492,false,"""Nationally, they predict prison populations on the basis of third-grade achievement.""","By Kiannah Sepeda-Miller • March 24, 2019"
2493,half-true,"There’s been a ""20 percent increase in young people coming back to Buffalo after a decade where we lost 10 percent of our young people.""","By Jill Terreri Ramos • March 23, 2019"
2494,half-true,"""I was the first elected Republican in Williamson County history.""","By Madlin Mekelburg • March 22, 2019"
2495,false,"""We could build 30 walls with the $150 billion Obama gave to Iran.""","By Jon Greenberg • March 22, 2019"
2496,mostly-true,"""Right now, only 11 percent of the 15,000 child care providers in Texas are certified as meeting quality standards.""","By Madlin Mekelburg • March 22, 2019"
2497,pants-fire,"Quotes Albert Einstein as saying ""I fear the day technology will surpass human interaction. The world will have a generation of idiots.""","By Samantha Putterman • March 22, 2019"
2498,false,"During her tenure as county attorney in Minnesota, ""there was a 65 percent decrease in incarceration of African-Americans.""","By Louis Jacobson • March 22, 2019"
2499,true,"""We are always going to need architects, doctors, we’re going to need professionals with four-year degrees. But 65 to 70 percent of the people in Missouri don’t have degrees.""","By Magdaline Duncan • March 22, 2019"
2500,true,"""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""","By Eric Litke • March 21, 2019"
2501,false,"""America came along as the first country to end (slavery) within 150 years.""","By John Kruzel • March 21, 2019"
2502,false,"""Farmer suicide rates are as high as they have been since the Great Depression.""","By Jon Greenberg • March 21, 2019"
2503,mostly-true,"""College debt has increased 170 percent since 2006 and now exceeds $1.5 trillion dollars, which is second only to mortgage debt and surpasses even credit card debt.""","By Chris Nichols • March 21, 2019"
2504,false,Says the Looney Tunes cartoon character Yosemite Sam was banned from television for being too violent.,"By Samantha Putterman • March 21, 2019"
2505,mostly-true,"""We have flown a Boeing 737 across the Atlantic Ocean on biofuels. We have flown F-18s.""","By John Kruzel • March 21, 2019"
2506,pants-fire,"Says Beto O'Rourke ""gave the remaining $4.5+ mill from his Senate race to (the Texas Democratic Party) a few months ago, & the Party sent the money back to him on the day of his announcement.""","By Madlin Mekelburg • March 20, 2019"
2507,half-true,"Says President Donald Trump’s fiscal year 2020 budget ""slashes investments in health care to pay for tax cuts to billionaires.""","By Miriam Valverde • March 20, 2019"
2508,false,"""Now there is a new threat that we’re seeing up close: the risk of exposure to powerful drugs that can kill in even tiny amounts.""","By Colin Meyn • March 20, 2019"
2509,full-flop,Position on Trump’s national emergency declaration for border wall funding,"By Paul Specht • March 20, 2019"
2510,false,"''Over 40 percent of African-American men in (Milwaukee County) have been going to prison for low-level drug offenses, and I think a hundred times that in the city of Madison.""","By D.L. Davis • March 19, 2019"
2511,half-true,"""Nearly half of public school teachers in Texas are working a second or a third job, not for kicks, not for extra spending cash, but just to make ends meet.""","By Miriam Valverde • March 19, 2019"
